Organisation Code,Area Team Name,Name,Total money spent, Total A & E HES Attendances,Median Time to Treatment,Median Total Time in A&E
RJC,"Arden, Herefordshire and Worchestershire",South Warwickshire General Hospitals NHS Trust,"112,929",5557,44,118
RKB,"Arden, Herefordshire and Worchestershire",University Hospitals Coventry And Warwickshire NHS Trust,"415,461",15419,49,120
RLQ,"Arden, Herefordshire and Worchestershire",Hereford Hospitals NHS Trust,"106,273",4541,43,125
RLT,"Arden, Herefordshire and Worchestershire",George Eliot Hospital NHS Trust,"92,786",5586,28,112
RWP,"Arden, Herefordshire and Worchestershire",Worcestershire Acute Hospitals NHS Trust,"286,540",14776,32,98
RD1,"Bath, Gloucestershire, Swindon and Wiltshire ",Royal United Hospital Bath NHS Trust,"199,812",6102,46,167
RN3,"Bath, Gloucestershire, Swindon and Wiltshire ",Great Western Hospitals NHS Foundation Trust,"123,026",9973,51,110
RBK,Birmingham and the Black Country,Walsall Hospitals NHS Trust,"158,148",6698,51,116
RNA,Birmingham and the Black Country,The Dudley Group Of Hospitals NHS Foundation Trust,"106,418",8269,75,161
RXK,Birmingham and the Black Country,Sandwell And West Birmingham Hospitals NHS Trust,"348,059",18019,48,137
RA3,"Bristol, North Somerset, Somerset and South Gloucestershire",Weston Area Health NHS Trust,"83,389",4412,71,176
RA7,"Bristol, North Somerset, Somerset and South Gloucestershire",University Hospitals Of Bristol NHS Foundation Trust,"67,807",10487,50,140
RH5,"Bristol, North Somerset, Somerset and South Gloucestershire",Somerset Partnership NHS Foundation Trust,"4,753",7026,39,64
RVJ,"Bristol, North Somerset, Somerset and South Gloucestershire",North Bristol NHS Trust,"425,169",7018,54,189
RJN,"Cheshire, Warrington and Wirral",East Cheshire NHS Trust,"107,142",4347,49.5,140
RTV,"Cheshire, Warrington and Wirral",5 Boroughs Partnership NHS Trust,"95,588",3554,18,53
RWW,"Cheshire, Warrington and Wirral",Warrington And Halton Hospitals NHS Foundation Trust,"112,931",8616,76.5,148
RNL,"Cumbria, Northumberland, Tyne and Wear",North Cumbria University Hospitals NHS Trust,"208,058",6647,17,134
RTX,"Cumbria, Northumberland, Tyne and Wear",University Hospitals Of Morecambe Bay NHS Trust,"227,133",7380,47,134
RX1,Derbyshire and Nottinghamshire ,Nottingham University Hospitals NHS Trust,"662,136",15754,58,150
RBZ,"Devon, Cornwall and Isles of Scilly",Northern Devon Healthcare NHS Trust,"117,507",6532,20,67
REF,"Devon, Cornwall and Isles of Scilly",Royal Cornwall Hospitals NHS Trust,"275,621",6142,41,168
RK9,"Devon, Cornwall and Isles of Scilly",Plymouth Hospitals NHS Trust,"359,326",7797,50,159
RTR,"Durham, Darlington and Tees",South Tees Hospitals NHS Trust,"417,778",10459,40,107
RCX,East Anglia,Queen Elizabeth Hospital Kings Lynn NHS Trust,"131,958",4579,51,148
RGQ,East Anglia,Ipswich Hospital NHS Trust,"198,864",6562,79,156
RGR,East Anglia,West Suffolk Hospital NHS Trust,"131,417",5253,113,164
